Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
A.J. Green,2012,WR,CIN,32.69,0.00,0.00
Aaron Hernandez,2012,TE,NE,53.69,0.00,0.00
Aaron Rodgers,2012,QB,GB,2.39,0.00,0.00
Adrian Peterson,2012,RB,MIN,25.17,0.00,0.00
Ahmad Bradshaw,2012,RB,NYG,31.75,0.00,0.00
Alex Smith,2012,QB,SF,132.72,0.00,0.00
Alfred Morris,2012,RB,WAS,999.00,0.00,0.00
Alshon Jeffery,2012,WR,CHI,157.00,0.00,0.00
Andre Johnson,2012,WR,HOU,24.02,0.00,0.00
Andre Roberts,2012,WR,ARI,999.00,0.00,0.00
Andrew Luck,2012,QB,IND,109.41,0.00,0.00
Andy Dalton,2012,QB,CIN,130.23,0.00,0.00
Anquan Boldin,2012,WR,BAL,100.50,0.00,0.00
Antonio Brown,2012,WR,PIT,68.82,0.00,0.00
Antonio Gates,2012,TE,SD,46.63,0.00,0.00
Arian Foster,2012,RB,HOU,1.83,0.00,0.00
Arizona ,2012,DEF,ARI,9999.00,0.00,0.00
Atlanta ,2012,DEF,ATL,9999.00,0.00,0.00
Austin Collie,2012,WR,IND,138.19,0.00,0.00
Baltimore ,2012,DEF,BAL,144.01,0.00,0.00
Beanie Wells,2012,RB,ARI,76.10,0.00,0.00
Ben Roethlisberger,2012,QB,PIT,89.37,0.00,0.00
Ben Tate,2012,RB,HOU,106.01,0.00,0.00
BenJarvus Green-Ellis,2012,RB,CIN,53.58,0.00,0.00
Bernard Pierce,2012,RB,BAL,999.00,0.00,0.00
Bilal Powell,2012,RB,NYJ,999.00,0.00,0.00
Blaine Gabbert,2012,QB,JAX,999.00,0.00,0.00
Brandon LaFell,2012,WR,CAR,142.29,0.00,0.00
Brandon Lloyd,2012,WR,NE,64.38,0.00,0.00
Brandon Marshall,2012,WR,CHI,37.33,0.00,0.00
Brandon Pettigrew,2012,TE,DET,96.30,0.00,0.00
Brent Celek,2012,TE,PHI,124.61,0.00,0.00
Brian Quick,2012,WR,STL,156.03,0.00,0.00
Buffalo ,2012,DEF,BUF,178.03,0.00,0.00
C.J. Spiller,2012,RB,BUF,95.37,0.00,0.00
Calvin Johnson,2012,WR,DET,7.75,0.00,0.00
Cam Newton,2012,QB,CAR,14.65,0.00,0.00
Carolina ,2012,DEF,CAR,9999.00,0.00,0.00
Carson Palmer,2012,QB,OAK,127.14,0.00,0.00
Cedric Benson,2012,RB,GB,999.00,0.00,0.00
Chicago ,2012,DEF,CHI,162.11,0.00,0.00
Chris Johnson,2012,RB,TEN,7.94,0.00,0.00
Christian Ponder,2012,QB,ARI,154.41,0.00,0.00
Cincinnati ,2012,DEF,CIN,9999.00,0.00,0.00
Cleveland ,2012,DEF,CLE,9999.00,0.00,0.00
Coby Fleener,2012,TE,IND,140.54,0.00,0.00
Dallas ,2012,DEF,DAL,9999.00,0.00,0.00
Daniel Thomas,2012,RB,MIA,145.43,0.00,0.00
Darren McFadden,2012,RB,OAK,10.63,0.00,0.00
Darren Sproles,2012,RB,NO,33.52,0.00,0.00
Darrius Heyward-Bey,2012,WR,OAK,113.83,0.00,0.00
David Nelson,2012,WR,BUF,164.60,0.00,0.00
David Wilson,2012,RB,NYG,130.24,0.00,0.00
Davone Bess,2012,WR,MIA,161.09,0.00,0.00
DeAngelo Williams,2012,RB,CAR,94.81,0.00,0.00
DeMarco Murray,2012,RB,DAL,14.89,0.00,0.00
DeMarco Sampson,2012,WR,ARI,999.00,0.00,0.00
Demaryius Thomas,2012,WR,DEN,48.82,0.00,0.00
Denarius Moore,2012,WR,OAK,111.94,0.00,0.00
Denver ,2012,DEF,DEN,9999.00,0.00,0.00
DeSean Jackson,2012,WR,PHI,62.44,0.00,0.00
Detroit ,2012,DEF,DET,170.01,0.00,0.00
Devin Hester,2012,WR,CHI,999.00,0.00,0.00
Dez Bryant,2012,WR,DAL,50.35,0.00,0.00
Dion Lewis,2012,RB,PHI,999.00,0.00,0.00
Donald Brown,2012,RB,IND,74.28,0.00,0.00
Donald Jones,2012,WR,BUF,999.00,0.00,0.00
Doug Baldwin,2012,WR,SEA,161.14,0.00,0.00
Doug Martin,2012,RB,TB,47.20,0.00,0.00
Drew Brees,2012,QB,NO,6.46,0.00,0.00
Dustin Keller,2012,TE,NYJ,143.37,0.00,0.00
Dwayne Bowe,2012,WR,KC,66.60,0.00,0.00
Early Doucet,2012,WR,ARI,999.00,0.00,0.00
Eli Manning,2012,QB,NYG,39.91,0.00,0.00
Eric Decker,2012,WR,DEN,69.50,0.00,0.00
Evan Royster,2012,RB,WAS,999.00,0.00,0.00
Felix Jones,2012,RB,DAL,136.19,0.00,0.00
Frank Gore,2012,RB,SF,38.86,0.00,0.00
Fred Davis,2012,TE,WAS,89.55,0.00,0.00
Fred Jackson,2012,RB,BUF,28.61,0.00,0.00
Green Bay ,2012,DEF,GB,157.61,0.00,0.00
Greg Jennings,2012,WR,GB,29.11,0.00,0.00
Greg Little,2012,WR,CLE,123.14,0.00,0.00
Greg Olsen,2012,TE,CAR,144.70,0.00,0.00
Hakeem Nicks,2012,WR,NYG,41.40,0.00,0.00
Harry Douglas,2012,WR,ATL,999.00,0.00,0.00
Heath Miller,2012,TE,PIT,166.71,0.00,0.00
Houston ,2012,DEF,HOU,147.11,0.00,0.00
Indianapolis ,2012,DEF,IND,9999.00,0.00,0.00
Isaac Redman,2012,RB,PIT,69.84,0.00,0.00
Isaiah Pead,2012,RB,STL,158.26,0.00,0.00
Jacksonville ,2012,DEF,JAX,9999.00,0.00,0.00
Jacob Tamme,2012,TE,DEN,96.80,0.00,0.00
Jacoby Jones,2012,WR,BAL,999.00,0.00,0.00
Jacquizz Rodgers,2012,RB,ATL,131.01,0.00,0.00
Jahvid Best,2012,RB,DET,137.04,0.00,0.00
Jake Locker,2012,QB,TEN,159.00,0.00,0.00
Jamaal Charles,2012,RB,KC,28.71,0.00,0.00
James Starks,2012,RB,GB,124.25,0.00,0.00
Jared Cook,2012,TE,TEN,144.31,0.00,0.00
Jason Witten,2012,TE,DAL,71.64,0.00,0.00
Jay Cutler,2012,QB,CHI,91.25,0.00,0.00
Jeremy Maclin,2012,WR,PHI,63.30,0.00,0.00
Jermaine Gresham,2012,TE,CIN,108.69,0.00,0.00
Jermichael Finley,2012,TE,GB,68.17,0.00,0.00
Jimmy Graham,2012,TE,NO,20.46,0.00,0.00
Joe Flacco,2012,QB,BAL,123.49,0.00,0.00
Jon Baldwin,2012,WR,KC,145.40,0.00,0.00
Jonathan Stewart,2012,RB,CAR,87.98,0.00,0.00
Jordy Nelson,2012,WR,GB,33.72,0.00,0.00
Josh Freeman,2012,QB,TB,126.49,0.00,0.00
Julio Jones,2012,WR,ATL,24.69,0.00,0.00
Justin Blackmon,2012,WR,JAX,111.48,0.00,0.00
Kansas City ,2012,DEF,KC,9999.00,0.00,0.00
Kellen Winslow,2012,TE,SEA,163.29,0.00,0.00
