Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
James White,2016,RB,NE,118.49,6.65,101.70
Chris Thompson,2016,RB,WAS,157.42,66.58,98.50
DeVante Parker,2016,WR,MIA,99.25,126.49,98.40
Jordan Matthews,2016,WR,PHI,79.36,135.90,98.40
Brandon Marshall,2016,WR,NYJ,24.98,176.66,96.80
Antonio Gates,2016,TE,SD,93.65,103.35,94.80
Alshon Jeffery,2016,WR,CHI,32.10,180.96,94.10
Derrick Henry,2016,RB,TEN,109.67,101.31,92.70
Chris Hogan,2016,WR,NE,161.05,70.06,90.90
Mohamed Sanu,2016,WR,ATL,142.42,102.79,89.80
Jordan Cameron,2016,TE,MIA,169.40,89.21,0.00
Tavon Austin,2016,WR,LAR,108.12,113.99,88.80
Randall Cobb,2016,WR,GB,48.25,150.56,88.30
T.J. Yeldon,2016,RB,JAX,96.12,125.29,87.70
Coby Fleener,2016,TE,NO,68.54,129.39,87.30
C.J. Anderson,2016,RB,DEN,35.91,173.45,86.50
Travis Benjamin,2016,WR,SD,138.62,112.75,85.40
Giovani Bernard,2016,RB,CIN,74.32,141.05,83.30
Jason Witten,2016,TE,DAL,107.07,102.95,83.30
Eric Ebron,2016,TE,DET,151.67,90.77,83.20
Tyler Lockett,2016,WR,SEA,85.23,123.52,83.10
DeAngelo Williams,2016,RB,PIT,83.34,123.77,82.10
Shaun Draughn,2016,RB,SF,999.00,66.50,79.90
Charles Clay,2016,TE,BUF,150.59,95.08,79.20
Michael Floyd,2016,WR,ARI,70.14,133.50,78.80
Dwayne Allen,2016,TE,IND,128.61,99.14,78.60
Gary Barnidge,2016,TE,CLE,92.73,109.13,75.20
Chris Ivory,2016,RB,JAX,79.60,118.80,74.50
Donte Moncrief,2016,WR,IND,77.15,144.22,72.60
Zach Miller,2016,TE,CHI,137.03,91.48,72.60
Kenneth Dixon,2016,RB,BAL,145.58,35.23,72.40
Rob Gronkowski,2016,TE,NE,11.79,170.09,72.00
Doug Martin,2016,RB,TB,24.75,190.09,71.50
Robert Griffin III,2016,QB,CLE,151.77,270.22,70.44
Tyler Boyd,2016,WR,CIN,144.58,92.50,70.10
Tyler Eifert,2016,TE,CIN,90.68,99.94,69.40
DeAndre Washington,2016,RB,OAK,151.78,56.22,68.20
Matt Jones,2016,RB,WAS,62.86,148.34,67.30
Charcandrick West,2016,RB,KC,153.02,41.23,66.10
Phillip Dorsett,2016,WR,IND,142.64,105.24,65.80
Allen Hurns,2016,WR,JAX,88.84,121.45,65.70
Jeremy Maclin,2016,WR,KC,54.31,146.77,65.50
John Brown,2016,WR,ARI,89.38,145.96,64.70
Tajae Sharpe,2016,WR,TEN,148.94,0.00,64.30
Javorius Allen,2016,RB,BAL,150.20,63.51,0.00
Jared Goff,2016,QB,LAR,999.00,0.00,63.16
Devin Funchess,2016,WR,CAR,140.11,88.98,63.10
Vance McDonald,2016,TE,SF,999.00,61.59,63.10
Victor Cruz,2016,WR,NYG,999.00,0.00,62.60
Thomas Rawls,2016,RB,SEA,37.70,173.88,62.50
Paul Perkins,2016,RB,NYG,157.80,69.39,61.80
Kendall Wright,2016,WR,TEN,165.03,69.30,61.10
Corey Coleman,2016,WR,CLE,130.60,123.63,60.30
Jace Amaro,2016,TE,NYJ,999.00,60.09,0.00
Sammie Coates,2016,WR,PIT,143.59,95.00,56.90
Sammy Watkins,2016,WR,BUF,38.63,162.87,55.00
Jay Cutler,2016,QB,CHI,148.16,294.68,54.76
Jeremy Langford,2016,RB,CHI,53.41,147.48,54.20
Clive Walford,2016,TE,OAK,165.11,79.19,53.90
Julius Thomas,2016,TE,JAX,110.40,101.41,52.10
Nelson Agholor,2016,WR,PHI,999.00,0.00,51.90
Dorial Green-Beckham,2016,WR,PHI,149.65,38.80,51.20
Karlos Williams,2016,RB,BUF,144.99,49.23,0.00
Wendell Smallwood,2016,RB,PHI,999.00,56.51,46.70
Will Tye,2016,TE,NYG,999.00,57.78,45.50
