Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Matt Ryan,2018,QB,ATL,100.67,323.29,423.96
Ben Roethlisberger,2018,QB,PIT,69.29,336.27,408.86
Andrew Luck,2018,QB,IND,70.69,316.90,404.92
Deshaun Watson,2018,QB,HOU,30.34,377.74,383.70
Jared Goff,2018,QB,LAR,106.22,334.93,374.32
Russell Wilson,2018,QB,SEA,45.21,360.81,368.42
Drew Brees,2018,QB,NO,47.26,330.10,367.98
Aaron Rodgers,2018,QB,GB,19.42,398.04,362.58
Philip Rivers,2018,QB,LAC,106.87,326.32,349.02
Kirk Cousins,2018,QB,MIN,79.18,348.82,342.12
Tom Brady,2018,QB,NE,27.21,379.07,338.30
Cam Newton,2018,QB,CAR,59.61,357.07,330.60
Dak Prescott,2018,QB,DAL,125.31,324.26,329.90
Patrick Mahomes II,2018,QB,KC,999.00,320.33,0.00
Todd Gurley II,2018,RB,LAR,1.29,272.37,313.10
Mitchell Trubisky,2018,QB,CHI,152.77,292.86,311.02
Saquon Barkley,2018,RB,NYG,6.91,242.26,294.80
Baker Mayfield,2018,QB,CLE,999.00,140.88,294.10
Eli Manning,2018,QB,NYG,139.15,286.92,281.96
Christian McCaffrey,2018,RB,CAR,14.78,173.21,280.50
Alvin Kamara,2018,RB,NO,6.99,232.63,273.20
Matthew Stafford,2018,QB,DET,97.85,318.83,254.18
Derek Carr,2018,QB,OAK,133.53,308.07,253.76
Ezekiel Elliott,2018,RB,DAL,4.03,244.77,252.10
Case Keenum,2018,QB,DEN,147.09,294.58,250.90
Le'Veon Bell,2018,RB,PIT,2.13,249.72,0.00
Tyreek Hill,2018,WR,KC,31.96,165.20,247.00
Carson Wentz,2018,QB,PHI,69.77,365.11,234.66
Jameis Winston,2018,QB,TB,147.33,263.49,233.78
Josh Allen,2018,QB,BUF,999.00,115.93,228.06
James Conner,2018,RB,PIT,999.00,0.00,225.00
Antonio Brown,2018,WR,PIT,6.04,200.94,219.70
