Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Russell Wilson,2017,QB,SEA,56.15,368.53,415.92
Andrew Luck,2017,QB,IND,92.67,376.04,0.00
Tom Brady,2017,QB,NE,16.43,437.93,359.88
Carson Wentz,2017,QB,PHI,130.67,280.80,347.74
Cam Newton,2017,QB,CAR,55.42,359.16,343.48
Matthew Stafford,2017,QB,DET,105.40,318.34,331.64
Kirk Cousins,2017,QB,WAS,68.71,352.64,331.62
Philip Rivers,2017,QB,LAC,93.00,320.19,326.40
Ben Roethlisberger,2017,QB,PIT,73.94,328.70,316.74
Drew Brees,2017,QB,NO,24.54,387.65,308.56
Dak Prescott,2017,QB,DAL,87.08,356.57,304.66
Carson Palmer,2017,QB,ARI,124.55,291.97,0.00
Blake Bortles,2017,QB,JAX,155.54,304.50,291.68
Matt Ryan,2017,QB,ATL,25.25,363.61,268.10
Andy Dalton,2017,QB,CIN,125.16,327.51,260.70
Le'Veon Bell,2017,RB,PIT,2.23,254.47,256.60
Tyrod Taylor,2017,QB,BUF,137.35,317.35,250.66
Derek Carr,2017,QB,OAK,71.07,322.27,250.44
Kareem Hunt,2017,RB,KC,48.44,102.58,242.20
Jameis Winston,2017,QB,TB,61.35,336.53,239.66
Alvin Kamara,2017,RB,NO,155.40,69.03,239.40
Marcus Mariota,2017,QB,TEN,76.08,359.69,236.48
Melvin Gordon,2017,RB,LAC,10.15,199.42,230.10
Eli Manning,2017,QB,NYG,122.27,308.98,225.32
Joe Flacco,2017,QB,BAL,146.40,279.65,221.04
Mark Ingram,2017,RB,NO,41.19,144.09,220.00
DeAndre Hopkins,2017,WR,HOU,45.91,144.70,213.80
Antonio Brown,2017,WR,PIT,4.08,199.74,209.30
Odell Beckham,2017,WR,NYG,9.58,206.62,0.00
LeSean McCoy,2017,RB,BUF,6.79,199.31,204.60
DeMarco Murray,2017,RB,TEN,14.95,203.49,0.00
Leonard Fournette,2017,RB,JAX,29.02,189.78,194.20
Keenan Allen,2017,WR,LAC,44.57,122.63,182.20
