Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Patrick Mahomes,2021,QB,KC,11.74,523.17,0.00
Josh Allen,2021,QB,BUF,17.16,498.52,0.00
Dak Prescott,2021,QB,DAL,51.46,464.48,0.00
Kyler Murray,2021,QB,ARI,36.51,458.84,0.00
Justin Herbert,2021,QB,LAC,42.88,440.31,0.00
Russell Wilson,2021,QB,SEA,49.32,431.98,0.00
Lamar Jackson,2021,QB,BAL,34.72,424.18,0.00
Ryan Tannehill,2021,QB,TEN,79.70,411.16,0.00
Tom Brady,2021,QB,TB,52.43,409.81,0.00
Aaron Rodgers,2021,QB,GB,41.06,404.56,0.00
Matthew Stafford,2021,QB,LAR,86.32,400.75,0.00
Jalen Hurts,2021,QB,PHI,92.72,380.61,0.00
Trevor Lawrence,2021,QB,JAX,111.92,377.30,0.00
Joe Burrow,2021,QB,CIN,108.69,370.11,0.00
Baker Mayfield,2021,QB,CLE,133.80,368.41,0.00
Jameis Winston,2021,QB,NO,134.53,292.62,0.00
Justin Fields,2021,QB,CHI,125.96,291.96,0.00
Christian McCaffrey,2021,RB,CAR,1.17,283.75,0.00
Jonathan Taylor,2021,RB,IND,11.89,277.08,0.00
Trey Lance,2021,QB,SF,130.67,272.89,0.00
Dalvin Cook,2021,RB,MIN,2.58,271.85,0.00
Saquon Barkley,2021,RB,NYG,14.34,267.01,0.00
Alvin Kamara,2021,RB,NO,4.49,262.63,0.00
Derrick Henry,2021,RB,TEN,3.42,260.77,0.00
Nick Chubb,2021,RB,CLE,10.38,260.35,0.00
J.K. Dobbins,2021,RB,BAL,37.99,260.08,0.00
Tyreek Hill,2021,WR,KC,12.77,260.00,0.00
Zach Wilson,2021,QB,NYJ,154.56,253.38,0.00
Ezekiel Elliott,2021,RB,DAL,7.85,244.02,0.00
Clyde Edwards-Helaire,2021,RB,KC,27.84,232.06,0.00
Aaron Jones,2021,RB,GB,8.63,226.97,0.00
Najee Harris,2021,RB,PIT,14.42,224.23,0.00
A.J. Brown,2021,WR,TEN,32.25,214.99,0.00
David Montgomery,2021,RB,CHI,37.90,214.47,0.00
Josh Jacobs,2021,RB,LV,36.70,212.07,0.00
DK Metcalf,2021,WR,SEA,23.82,211.91,0.00
D'Andre Swift,2021,RB,DET,40.29,210.46,0.00
Justin Jefferson,2021,WR,MIN,29.64,208.28,0.00
Antonio Gibson,2021,RB,WAS,20.32,206.38,0.00
Ronald Jones II,2021,RB,TB,0.00,205.91,0.00
Davante Adams,2021,WR,GB,9.77,205.53,0.00
Stefon Diggs,2021,WR,BUF,17.93,203.02,0.00
Joe Mixon,2021,RB,CIN,19.14,202.29,0.00
Darrell Henderson Jr.,2021,RB,LAR,0.00,202.05,0.00
Travis Kelce,2021,TE,KC,9.99,200.28,0.00
Calvin Ridley,2021,WR,ATL,21.81,196.70,0.00
DeAndre Hopkins,2021,WR,ARI,20.84,194.54,0.00
Chris Godwin,2021,WR,TB,48.43,193.10,0.00
Austin Ekeler,2021,RB,LAC,11.45,191.99,0.00
Terry McLaurin,2021,WR,WAS,35.14,190.51,0.00
Mike Evans,2021,WR,TB,44.45,187.42,0.00
Miles Sanders,2021,RB,PHI,48.59,181.15,0.00
Michael Thomas,2021,WR,NO,97.30,180.78,0.00
Chris Carson,2021,RB,SEA,35.34,180.12,0.00
Deebo Samuel,2021,WR,SF,105.30,179.78,0.00
Allen Robinson II,2021,WR,CHI,0.00,173.44,0.00
James Robinson,2021,RB,JAX,28.83,172.40,0.00
George Kittle,2021,TE,SF,25.79,172.30,0.00
Chase Claypool,2021,WR,PIT,73.67,171.88,0.00
Justin Tucker,2021,K,BAL,113.68,170.21,0.00
Zack Moss,2021,RB,BUF,117.13,169.25,0.00
Harrison Butker,2021,K,KC,117.70,169.20,0.00
Amari Cooper,2021,WR,DAL,46.51,168.51,0.00
CeeDee Lamb,2021,WR,DAL,42.62,167.08,0.00
DJ Moore,2021,WR,CAR,0.00,166.90,0.00
Adam Thielen,2021,WR,MIN,54.80,166.81,0.00
Diontae Johnson,2021,WR,PIT,65.30,166.65,0.00
Tyler Bass,2021,K,BUF,142.21,166.34,0.00
Cooper Kupp,2021,WR,LAR,47.80,165.74,0.00
Ryan Succop,2021,K,TB,143.30,165.09,0.00
Mark Andrews,2021,TE,BAL,51.57,164.96,0.00
Robby Anderson,2021,WR,CAR,89.43,164.10,0.00
Jerry Jeudy,2021,WR,DEN,68.89,161.24,0.00
Greg Zuerlein,2021,K,DAL,128.00,160.59,0.00
Brandon Aiyuk,2021,WR,SF,70.15,160.41,0.00
Kenny Golladay,2021,WR,NYG,87.47,159.96,0.00
Myles Gaskin,2021,RB,MIA,47.13,159.89,0.00
Matt Gay,2021,K,LAR,171.12,158.80,0.00
Odell Beckham Jr.,2021,WR,CLE,0.00,157.86,0.00
Keenan Allen,2021,WR,LAC,30.05,157.82,0.00
Chase McLaughlin,2021,K,CLE,0.00,157.40,0.00
Tyler Lockett,2021,WR,SEA,52.17,156.82,0.00
Chase Edmonds,2021,RB,ARI,61.76,156.63,0.00
Younghoe Koo,2021,K,ATL,138.50,156.53,0.00
Robbie Gould,2021,K,SF,164.36,156.50,0.00
Kareem Hunt,2021,RB,CLE,59.96,156.46,0.00
Mike Williams,2021,WR,LAC,136.51,155.52,0.00
Javonte Williams,2021,RB,DEN,66.21,155.05,0.00
Corey Davis,2021,WR,NYJ,107.86,155.03,0.00
T.J. Hockenson,2021,TE,DET,65.18,154.42,0.00
Julio Jones,2021,WR,TEN,57.42,153.33,0.00
Tee Higgins,2021,WR,CIN,72.57,153.21,0.00
DJ Chark Jr.,2021,WR,JAX,0.00,153.15,0.00
Darren Waller,2021,TE,LV,27.50,152.88,0.00
Rodrigo Blankenship,2021,K,IND,154.08,152.60,0.00
Chris Boswell,2021,K,PIT,172.39,150.81,0.00
Jason Sanders,2021,K,MIA,148.70,147.41,0.00
Quinn Nordin,2021,K,NE,0.00,146.52,0.00
Daniel Carlson,2021,K,LV,171.83,145.86,0.00
Raheem Mostert,2021,RB,SF,62.20,144.92,0.00
Josh Lambo,2021,K,JAX,0.00,144.86,0.00
JuJu Smith-Schuster,2021,WR,PIT,67.47,144.63,0.00
Antonio Brown,2021,WR,TB,95.20,144.52,0.00
Leonard Fournette,2021,RB,TB,96.91,144.52,0.00
Mike Davis,2021,RB,ATL,48.69,144.13,0.00
Jason Myers,2021,K,SEA,169.12,143.86,0.00
James Conner,2021,RB,ARI,99.43,143.79,0.00
DeVonta Smith,2021,WR,PHI,101.15,142.63,0.00
Mason Crosby,2021,K,GB,163.29,140.80,0.00
Robert Woods,2021,WR,LAR,42.33,140.67,0.00
Michael Gallup,2021,WR,DAL,134.48,140.60,0.00
Jaylen Waddle,2021,WR,MIA,99.34,140.33,0.00
Matt Prater,2021,K,ARI,167.90,140.22,0.00
DeVante Parker,2021,WR,MIA,151.38,139.82,0.00
Cairo Santos,2021,K,CHI,175.87,139.49,0.00
Laviska Shenault Jr.,2021,WR,JAX,109.11,139.00,0.00
Dustin Hopkins,2021,K,WAS,0.00,138.68,0.00
Jarvis Landry,2021,WR,CLE,119.03,137.82,0.00
Michael Pittman Jr.,2021,WR,IND,0.00,136.96,0.00
Graham Gano,2021,K,NYG,0.00,135.30,0.00
Brandon McManus,2021,K,DEN,162.30,134.32,0.00
Will Fuller V,2021,WR,MIA,0.00,134.15,0.00
Ja'Marr Chase,2021,WR,CIN,82.37,134.02,0.00
Nyheim Hines,2021,RB,IND,135.79,132.77,0.00
Marquise Brown,2021,WR,BAL,132.46,132.30,0.00
Jake Elliott,2021,K,PHI,0.00,130.73,0.00
Devin Singletary,2021,RB,BUF,112.44,130.16,0.00
Tampa Bay,2021,DEF,TB,0.00,130.16,0.00
Sam Ficken,2021,K,TEN,0.00,130.00,0.00
Kyle Pitts,2021,TE,ATL,53.13,129.96,0.00
David Johnson,2021,RB,HOU,140.47,129.27,0.00
Melvin Gordon III,2021,RB,DEN,0.00,128.11,0.00
Noah Fant,2021,TE,DEN,91.00,126.28,0.00
Dallas Goedert,2021,TE,PHI,105.67,125.99,0.00
Kenyan Drake,2021,RB,LV,108.94,125.10,0.00
Tyler Boyd,2021,WR,CIN,92.21,125.10,0.00
Mecole Hardman,2021,WR,KC,129.28,125.03,0.00
Rob Gronkowski,2021,TE,TB,122.94,124.97,0.00
Ryan Santoso,2021,K,CAR,0.00,124.59,0.00
Brandin Cooks,2021,WR,HOU,110.32,124.54,0.00
Evan McPherson,2021,K,CIN,0.00,124.44,0.00
Gus Edwards,2021,RB,BAL,62.27,122.40,0.00
Cole Beasley,2021,WR,BUF,138.29,122.05,0.00
AJ Dillon,2021,RB,GB,0.00,121.85,0.00
Damien Harris,2021,RB,NE,60.24,120.92,0.00
Travis Etienne,2021,RB,JAX,47.69,120.82,0.00
Henry Ruggs III,2021,WR,LV,147.22,120.10,0.00
Hunter Henry,2021,TE,NE,151.88,119.02,0.00
Austin Seibert,2021,K,DET,0.00,118.57,0.00
Darnell Mooney,2021,WR,CHI,134.72,116.02,0.00
Mike Gesicki,2021,TE,MIA,101.58,113.89,0.00
San Francisco,2021,DEF,SF,0.00,113.16,0.00
Ka'imi Fairbairn,2021,K,HOU,0.00,112.73,0.00
Buffalo,2021,DEF,BUF,0.00,111.45,0.00
Wil Lutz,2021,K,NO,0.00,110.87,0.00
Baltimore,2021,DEF,BAL,0.00,109.22,0.00
Michael Carter,2021,RB,NYJ,89.59,106.95,0.00
Robert Tonyan,2021,TE,GB,111.56,105.39,0.00
Denver,2021,DEF,DEN,0.00,104.50,0.00
Pittsburgh,2021,DEF,PIT,0.00,104.25,0.00
Tyler Higbee,2021,TE,LAR,102.33,103.79,0.00
Washington,2021,DEF,WAS,0.00,101.68,0.00
Tony Pollard,2021,RB,DAL,134.80,101.05,0.00
New England,2021,DEF,NE,0.00,99.57,0.00
Jonnu Smith,2021,TE,NE,126.30,98.66,0.00
Logan Thomas,2021,TE,WAS,81.44,98.31,0.00
Rondale Moore,2021,WR,ARI,156.42,98.09,0.00
Elijah Moore,2021,WR,NYJ,145.67,92.35,0.00
Los Angeles,2021,DEF,LAR,0.00,87.35,0.00
Chuba Hubbard,2021,RB,CAR,153.27,85.95,0.00
Sony Michel,2021,RB,NE,113.19,82.57,0.00
Trey Sermon,2021,RB,SF,84.59,82.48,0.00
Jamaal Williams,2021,RB,DET,106.89,79.23,0.00
Kenneth Gainwell,2021,RB,PHI,160.85,77.69,0.00
Giovani Bernard,2021,RB,TB,140.12,61.53,0.00
Randall Cobb,2021,WR,HOU,162.66,51.41,0.00
Pat Freiermuth,2021,TE,PIT,0.00,51.33,0.00
Rhamondre Stevenson,2021,RB,NE,140.51,50.45,0.00
Tristan Vizcaino,2021,K,LAC,0.00,7.63,0.00
Aldrick Rosas,2021,K,NO,0.00,0.00,0.00
Alex Kessman,2021,K,LAC,0.00,0.00,0.00
Austin Hooper,2021,TE,CLE,159.10,0.00,0.00
Austin MacGinnis,2021,K,LAR,0.00,0.00,0.00
Blake Haubeil,2021,K,TEN,0.00,0.00,0.00
Brett Maher,2021,K,NO,0.00,0.00,0.00
Brian Johnson,2021,K,CHI,0.00,0.00,0.00
Cam Sutton,2021,TE,SEA,0.00,0.00,0.00
Chris Naggar,2021,K,CLE,0.00,0.00,0.00
Cleveland,2021,DEF,CLE,999.00,0.00,0.00
Cody Parkey,2021,K,CLE,0.00,0.00,0.00
Courtland Sutton,2021,WR,DEN,84.17,0.00,0.00
Dan Bailey,2021,K,MIN,0.00,0.00,0.00
Dawson Knox,2021,TE,BUF,999.00,0.00,0.00
Dominik Eberle,2021,K,CAR,0.00,0.00,0.00
Eddy Pineiro,2021,K,WAS,0.00,0.00,0.00
Elliott Fry,2021,K,ATL,0.00,0.00,0.00
Gerald Everette,2021,TE,SEA,999.00,0.00,0.00
Greg Joseph,2021,K,MIN,0.00,0.00,0.00
Jake Verity,2021,K,BAL,0.00,0.00,0.00
JJ Molson,2021,K,GB,0.00,0.00,0.00
Joey Slye,2021,K,HOU,0.00,0.00,0.00
Jose Borregales,2021,K,TB,0.00,0.00,0.00
Lirim Hajrullahu,2021,K,DAL,0.00,0.00,0.00
Mac Jones,2021,QB,NE,145.27,0.00,0.00
Marquez Callaway,2021,WR,NO,111.24,0.00,0.00
Matt Ammendola,2021,K,NYJ,0.00,0.00,0.00
Matt McCrane,2021,K,CLE,0.00,0.00,0.00
Matt Ryan,2021,QB,ATL,122.76,0.00,0.00
Matthew Wright,2021,K,DET,0.00,0.00,0.00
Michael Badgley,2021,K,LAC,0.00,0.00,0.00
Nick Folk,2021,K,NE,0.00,0.00,0.00
Randy Bullock,2021,K,DET,0.00,0.00,0.00
Riley Patterson,2021,K,MIN,0.00,0.00,0.00
Roberto Aguayo,2021,K,NE,0.00,0.00,0.00
Ryan Fitzpatrick,2021,QB,WAS,147.43,0.00,0.00
Sam Sloman,2021,K,PIT,0.00,0.00,0.00
Stephen Gostkowski,2021,K,TEN,0.00,0.00,0.00
Tucker McCann,2021,K,TEN,0.00,0.00,0.00
Zach Ertz,2021,TE,PHI,136.68,0.00,0.00
Zane Gonzalez,2021,K,DET,0.00,0.00,0.00
