Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Lamar Jackson,2019,QB,BAL,105.00,329.26,487.68
Andrew Luck,2019,QB,IND,75.00,401.62,0.00
Dak Prescott,2019,QB,DAL,125.00,351.95,397.78
Russell Wilson,2019,QB,SEA,88.00,383.24,390.60
Deshaun Watson,2019,QB,HOU,36.00,383.95,371.98
Jameis Winston,2019,QB,TB,94.00,347.32,371.36
Christian McCaffrey,2019,RB,CAR,3.00,231.26,355.20
Patrick Mahomes,2019,QB,KC,7.00,473.62,339.04
Aaron Rodgers,2019,QB,GB,37.00,404.15,330.38
Carson Wentz,2019,QB,PHI,74.00,369.17,329.86
Josh Allen,2019,QB,BUF,157.00,316.79,328.56
Kyler Murray,2019,QB,ARI,114.00,315.60,325.28
Matt Ryan,2019,QB,ATL,52.00,367.86,319.34
Tom Brady,2019,QB,NE,82.00,340.97,311.68
Jimmy Garoppolo,2019,QB,SF,145.00,342.89,301.32
Kirk Cousins,2019,QB,MIN,137.00,365.56,296.42
Jared Goff,2019,QB,LAR,70.00,380.50,291.52
Derek Carr,2019,QB,OAK,159.00,311.47,286.36
Philip Rivers,2019,QB,LAC,106.00,349.69,281.50
Ryan Fitzpatrick,2019,QB,MIA,999.00,177.48,281.46
Drew Brees,2019,QB,NO,63.00,380.89,278.76
Derrick Henry,2019,RB,TEN,48.00,200.23,276.60
Baker Mayfield,2019,QB,CLE,56.00,385.97,273.18
Aaron Jones,2019,RB,GB,33.00,215.40,265.80
Daniel Jones,2019,QB,NYG,999.00,0.00,262.98
Ezekiel Elliott,2019,RB,DAL,4.00,274.94,257.70
Eli Manning,2019,QB,NYG,999.00,247.85,0.00
Dalvin Cook,2019,RB,MIN,19.00,225.38,239.40
Mitchell Trubisky,2019,QB,CHI,149.00,362.23,236.82
Andy Dalton,2019,QB,CIN,999.00,317.02,234.66
Sam Darnold,2019,QB,NYJ,181.00,309.59,227.16
Michael Thomas,2019,WR,NO,12.00,196.19,225.60
Nick Chubb,2019,RB,CLE,13.00,227.01,219.20
Austin Ekeler,2019,RB,LAC,65.00,120.44,217.00
Matthew Stafford,2019,QB,DET,178.00,280.07,204.56
Chris Carson,2019,RB,SEA,31.00,117.16,195.60
Saquon Barkley,2019,RB,NYG,1.00,306.53,192.10
Joe Mixon,2019,RB,CIN,17.00,212.10,190.40
Chris Godwin,2019,WR,TB,51.00,131.30,190.10
Todd Gurley II,2019,RB,LAR,999.00,240.53,188.40
Leonard Fournette,2019,RB,JAX,21.00,199.25,183.40
Kenny Golladay,2019,WR,DET,45.00,148.41,183.00
Cooper Kupp,2019,WR,LAR,49.00,141.49,176.50
Julio Jones,2019,WR,ATL,11.00,205.46,175.10
Mark Ingram,2019,RB,BAL,44.00,174.58,0.00
DeVante Parker,2019,WR,MIA,221.00,102.92,174.20
Josh Jacobs,2019,RB,OAK,32.00,161.68,171.60
Miles Sanders,2019,RB,PHI,72.00,5.71,168.70
Alvin Kamara,2019,RB,NO,2.00,264.51,167.52
Amari Cooper,2019,WR,DAL,35.00,168.81,167.50
Marlon Mack,2019,RB,IND,43.00,206.36,167.30
DeAndre Hopkins,2019,WR,HOU,5.00,205.90,166.54
Mike Evans,2019,WR,TB,22.00,191.56,165.70
A.J. Brown,2019,WR,TEN,999.00,4.14,165.10
Kenyan Drake,2019,RB,MIA,64.00,179.59,164.20
Phillip Lindsay,2019,RB,DEN,53.00,189.51,162.70
Julian Edelman,2019,WR,NE,38.00,144.09,158.28
Keenan Allen,2019,WR,LAC,28.00,168.33,157.50
Travis Kelce,2019,TE,KC,15.00,190.01,157.30
Allen Robinson II,2019,WR,CHI,999.00,126.88,156.90
Jarvis Landry,2019,WR,CLE,73.00,146.79,154.40
Jerick McKinnon,2019,RB,SF,145.00,153.62,0.00
Tyler Lockett,2019,WR,SEA,50.00,125.09,153.20
Courtland Sutton,2019,WR,DEN,136.00,105.20,150.42
John Brown,2019,WR,BUF,158.00,124.81,149.82
Stefon Diggs,2019,WR,MIN,34.00,161.76,149.10
Le'Veon Bell,2019,RB,NYJ,8.00,231.48,149.00
D.J. Moore,2019,WR,CAR,79.00,148.64,0.00
Lamar Miller,2019,RB,HOU,78.00,147.27,0.00
Michael Gallup,2019,WR,DAL,155.00,105.86,146.70
David Montgomery,2019,RB,CHI,39.00,6.97,145.40
Mike Davis,2019,RB,CHI,214.00,143.84,0.00
Carlos Hyde,2019,RB,KC,187.00,128.63,143.20
Mark Andrews,2019,TE,BAL,138.00,97.46,143.20
Robert Woods,2019,WR,LAR,41.00,170.99,142.90
Sony Michel,2019,RB,NE,47.00,202.73,140.60
Melvin Gordon III,2019,RB,LAC,999.00,235.98,138.80
Devonta Freeman,2019,RB,ATL,30.00,185.86,138.60
George Kittle,2019,TE,SF,29.00,160.01,137.50
A.J. Green,2019,WR,CIN,66.00,135.48,0.00
Ronald Jones II,2019,RB,TB,999.00,62.30,135.30
Calvin Ridley,2019,WR,ATL,55.00,137.72,134.00
Terry McLaurin,2019,WR,WAS,999.00,1.71,133.90
Tyler Boyd,2019,WR,CIN,59.00,142.46,132.90
Deebo Samuel,2019,WR,SF,199.00,5.59,132.10
Marvin Jones Jr.,2019,WR,DET,999.00,115.05,131.90
Chicago,2019,DEF,CHI,999.00,131.64,0.00
Darren Waller,2019,TE,OAK,194.00,0.00,131.00
Tyreek Hill,2019,WR,KC,18.00,200.76,130.30
Adrian Peterson,2019,RB,WAS,128.00,91.47,130.00
Davante Adams,2019,WR,GB,10.00,208.28,129.70
DK Metcalf,2019,WR,SEA,999.00,5.29,129.10
James White,2019,RB,NE,60.00,148.30,128.20
Zach Ertz,2019,TE,PHI,27.00,159.71,127.60
Odell Beckham Jr.,2019,WR,CLE,999.00,202.31,127.30
Emmanuel Sanders,2019,WR,DEN,81.00,119.73,126.30
Case Keenum,2019,QB,WAS,999.00,145.22,125.48
Jared Cook,2019,TE,NO,62.00,115.59,124.50
Latavius Murray,2019,RB,NO,92.00,160.39,123.20
Jamison Crowder,2019,WR,NYJ,175.00,93.68,119.70
New England,2019,DEF,NE,999.00,119.56,0.00
Devin Singletary,2019,RB,BUF,161.00,2.11,118.90
Cole Beasley,2019,WR,BUF,999.00,54.66,117.80
Curtis Samuel,2019,WR,CAR,103.00,106.65,117.70
Devin Funchess,2019,WR,IND,195.00,117.15,0.00
Austin Hooper,2019,TE,ATL,121.00,87.54,116.70
Cleveland,2019,DEF,CLE,999.00,116.59,0.00
Tevin Coleman,2019,RB,SF,58.00,144.79,114.40
Baltimore,2019,DEF,BAL,999.00,114.18,0.00
David Njoku,2019,TE,CLE,112.00,112.77,0.00
Mike Williams,2019,WR,LAC,71.00,166.06,112.30
