Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Peyton Manning,2013,QB,DEN,17.00,0.00,519.98
Drew Brees,2013,QB,NO,9.42,0.00,435.68
Andy Dalton,2013,QB,CIN,104.65,0.00,354.02
Philip Rivers,2013,QB,SD,139.06,0.00,351.42
Cam Newton,2013,QB,CAR,35.55,0.00,345.66
Andrew Luck,2013,QB,IND,56.85,0.00,338.58
Matthew Stafford,2013,QB,DET,43.10,0.00,336.90
Tony Romo,2013,QB,DAL,62.88,0.00,322.92
Russell Wilson,2013,QB,SEA,71.50,0.00,322.18
Ben Roethlisberger,2013,QB,PIT,126.51,0.00,314.84
Nick Foles,2013,QB,PHI,999.00,0.00,313.74
Jamaal Charles,2013,RB,KC,5.95,0.00,308.00
Colin Kaepernick,2013,QB,SF,56.95,0.00,306.28
Tom Brady,2013,QB,NE,29.28,0.00,301.52
Matt Ryan,2013,QB,ATL,34.23,0.00,300.10
Alex Smith,2013,QB,KC,138.31,0.00,299.22
Ryan Tannehill,2013,QB,MIA,147.64,0.00,286.32
LeSean McCoy,2013,RB,PHI,9.89,0.00,278.60
Carson Palmer,2013,QB,ARI,123.53,0.00,265.26
Matt Forte,2013,RB,CHI,15.60,0.00,263.30
Joe Flacco,2013,QB,BAL,129.23,0.00,245.58
Robert Griffin III,2013,QB,WAS,58.26,0.00,245.02
Marshawn Lynch,2013,RB,SEA,7.93,0.00,239.30
Knowshon Moreno,2013,RB,DEN,161.74,0.00,236.60
Josh Gordon,2013,WR,CLE,110.16,0.00,227.40
Demaryius Thomas,2013,WR,DEN,27.82,0.00,227.00
Calvin Johnson,2013,WR,DET,9.46,0.00,219.20
Geno Smith,2013,QB,NYJ,999.00,0.00,217.74
Jimmy Graham,2013,TE,NO,23.75,0.00,217.50
A.J. Green,2013,WR,CIN,20.15,0.00,208.60
Eddie Lacy,2013,RB,GB,62.43,0.00,207.50
Jay Cutler,2013,QB,CHI,119.54,0.00,206.64
Eli Manning,2013,QB,NYG,84.98,0.00,206.32
Brandon Marshall,2013,WR,CHI,23.12,0.00,205.50
DeMarco Murray,2013,RB,DAL,29.54,0.00,205.10
Antonio Brown,2013,WR,PIT,67.90,0.00,204.90
Adrian Peterson,2013,RB,MIN,1.11,0.00,203.70
Aaron Rodgers,2013,QB,GB,11.25,0.00,203.44
Dez Bryant,2013,WR,DAL,19.68,0.00,199.40
Chris Johnson,2013,RB,TEN,19.65,0.00,198.20
