Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Cam Newton,2015,QB,CAR,72.15,314.87,459.08
Tom Brady,2015,QB,NE,76.05,274.70,415.70
Russell Wilson,2015,QB,SEA,37.62,355.07,404.26
Blake Bortles,2015,QB,JAX,153.62,272.13,386.12
Carson Palmer,2015,QB,ARI,127.16,291.28,379.24
Drew Brees,2015,QB,NO,31.99,372.01,368.20
Aaron Rodgers,2015,QB,GB,12.77,386.53,363.24
Peyton Manning,2015,QB,DEN,19.89,358.48,0.00
Eli Manning,2015,QB,NYG,84.29,328.51,357.54
Matthew Stafford,2015,QB,DET,68.48,312.07,353.78
Philip Rivers,2015,QB,SD,100.37,327.12,342.48
Derek Carr,2015,QB,OAK,147.04,255.59,335.28
Jameis Winston,2015,QB,TB,142.27,277.22,318.98
Alex Smith,2015,QB,KC,145.59,283.68,311.24
Ryan Tannehill,2015,QB,MIA,93.09,332.23,305.32
Andy Dalton,2015,QB,CIN,140.60,260.65,294.20
Matt Ryan,2015,QB,ATL,50.84,333.65,275.94
Ben Roethlisberger,2015,QB,PIT,40.94,331.06,270.12
Jay Cutler,2015,QB,CHI,115.89,287.08,268.46
Antonio Brown,2015,WR,PIT,8.09,217.76,252.20
Marcus Mariota,2015,QB,TEN,147.09,298.90,248.02
Devonta Freeman,2015,RB,ATL,85.13,134.54,243.40
Nick Foles,2015,QB,STL,148.50,242.40,0.00
Julio Jones,2015,WR,ATL,16.56,194.62,239.10
Robert Griffin III,2015,QB,WAS,152.70,233.17,0.00
Sam Bradford,2015,QB,PHI,113.34,307.65,232.90
Adrian Peterson,2015,RB,MIN,3.96,236.52,230.70
Brandon Marshall,2015,WR,NYJ,73.38,131.36,230.20
Teddy Bridgewater,2015,QB,MIN,123.37,300.41,228.44
Allen Robinson,2015,WR,JAX,99.24,130.39,224.00
Odell Beckham Jr.,2015,WR,NYG,14.89,189.10,223.30
DeAndre Hopkins,2015,WR,HOU,48.60,138.85,220.10
Doug Martin,2015,RB,TB,80.34,128.96,199.30
Calvin Johnson,2015,WR,DET,18.56,192.87,0.00
Deangelo Williams,2015,RB,PIT,999.00,0.00,191.40
Doug Baldwin,2015,WR,SEA,123.81,109.65,190.90
Joe Flacco,2015,QB,BAL,104.39,303.04,189.94
A.J. Green,2015,WR,CIN,24.05,170.58,187.70
Todd Gurley,2015,RB,STL,64.30,152.45,187.40
Lamar Miller,2015,RB,MIA,27.37,189.99,184.90
Rob Gronkowski,2015,TE,NE,16.20,165.28,183.60
David Johnson,2015,RB,ARI,137.43,65.97,179.80
Chris Ivory,2015,RB,NYJ,74.58,141.69,172.70
Eric Decker,2015,WR,NYJ,125.59,127.54,172.70
