Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Andrew Luck,2014,QB,IND,45.55,342.55,431.74
Aaron Rodgers,2014,QB,GB,11.28,378.88,430.14
Peyton Manning,2014,QB,DEN,4.31,436.04,390.68
Ben Roethlisberger,2014,QB,PIT,110.07,283.94,370.18
Drew Brees,2014,QB,NO,10.54,404.72,368.98
Russell Wilson,2014,QB,SEA,102.68,307.65,367.60
Tom Brady,2014,QB,NE,42.02,351.60,344.06
Matt Ryan,2014,QB,ATL,52.96,349.20,340.26
Tony Romo,2014,QB,DAL,71.62,340.92,334.30
Ryan Tannehill,2014,QB,MIA,140.98,293.91,332.50
Eli Manning,2014,QB,NYG,141.80,256.45,329.50
Robert Griffin III,2014,QB,WAS,80.01,328.45,0.00
Philip Rivers,2014,QB,SD,99.79,317.33,327.64
Joe Flacco,2014,QB,BAL,141.57,271.54,316.44
Jay Cutler,2014,QB,CHI,80.75,314.71,311.58
Andy Dalton,2014,QB,CIN,117.52,298.18,0.00
Matthew Stafford,2014,QB,DET,24.73,355.06,295.58
DeMarco Murray,2014,RB,DAL,13.68,201.87,294.10
Colin Kaepernick,2014,QB,SF,51.58,314.32,288.66
Le'Veon Bell,2014,RB,PIT,23.73,180.37,287.50
Cam Newton,2014,QB,CAR,83.26,313.04,284.98
Marshawn Lynch,2014,RB,SEA,15.83,205.17,265.30
Antonio Brown,2014,WR,PIT,28.11,168.57,259.90
Alex Smith,2014,QB,KC,138.54,316.15,256.00
Sam Bradford,2014,QB,STL,140.40,252.20,0.00
Matt Forte,2014,RB,CHI,5.12,225.39,244.60
Arian Foster,2014,RB,HOU,24.04,193.28,237.50
Eddie Lacy,2014,RB,GB,8.75,222.85,230.60
Demaryius Thomas,2014,WR,DEN,11.07,196.64,229.90
Jordy Nelson,2014,WR,GB,24.86,167.83,229.90
Dez Bryant,2014,WR,DAL,15.36,206.87,228.00
Johnny Manziel,2014,QB,CLE,149.76,215.70,0.00
Jamaal Charles,2014,RB,KC,2.18,243.55,210.40
Randall Cobb,2014,WR,GB,32.35,161.77,202.40
Emmanuel Sanders,2014,WR,DEN,71.08,132.90,200.80
Julio Jones,2014,WR,ATL,18.92,193.02,193.40
Jeremy Maclin,2014,WR,PHI,77.58,115.11,191.80
Lamar Miller,2014,RB,MIA,91.90,147.16,185.40
Rob Gronkowski,2014,TE,NE,32.42,166.51,184.40
Jeremy Hill,2014,RB,CIN,139.11,106.92,183.90
Mike Evans,2014,WR,TB,112.99,116.67,177.10
Alshon Jeffery,2014,WR,CHI,29.85,174.93,176.60
T.Y. Hilton,2014,WR,IND,75.62,138.64,176.50
LeSean McCoy,2014,RB,PHI,2.54,230.08,171.40
Alfred Morris,2014,RB,WAS,24.79,173.33,170.90
Joique Bell,2014,RB,DET,57.88,144.25,164.20
Mark Ingram,2014,RB,NO,133.95,116.49,162.90
Golden Tate,2014,WR,DET,73.91,122.53,160.10
Calvin Johnson,2014,WR,DET,6.90,204.56,155.70
DeAndre Hopkins,2014,WR,HOU,137.66,118.45,155.00
